Model Number,Company,Display Size,Display Type,Display Protection Type,Total Storage,Storage Type,Total RAM,RAM Type,Processor,Battery Capacity,Front Camera MP,Front Dual Camera MP,Back Camera MP,Wide Camera MP,Micro Camera MP,Body Type,Body Back,Wireless Charging,NFC Support,Price (USD)
Xiaomi-5425,Xiaomi,5.4,OLED,Scratch-resistant glass,1024,eMMC 5.1,4,LPDDR5,A17 Pro,4000,12,,12,8,5,Glass,Polycarbonate back,False,True,387
Samsung-9079,Samsung,6.1,Liquid Retina,Gorilla Glass,1024,UFS 3.1,6,LPDDR5,A13 Bionic,5000,20,,64,12,8,Polycarbonate,Plastic,False,True,1375
Samsung-4948,Samsung,6.7,OLED,Ceramic Shield,64,UFS 3.1,6,LPDDR4X,A17 Pro,5000,16,,64,20,8,Glass,Leather back,True,True,1279
Apple-9191,Apple,6.5,IPS LCD,Ion-strengthened glass,64,UFS 3.1,8,LPDDR5,A17 Pro,4500,20,8.0,48,16,5,Polycarbonate,Plastic,False,False,1340
Google-3482,Google,7.0,Liquid Retina,Gorilla Glass,256,NVMe,12,LPDDR4X,A13 Bionic,4500,16,16.0,64,20,12,Plastic,Plastic,True,False,1015
OnePlus-7142,OnePlus,6.5,Super Retina XDR,Ceramic Shield,1024,NVMe,8,LPDDR5,A15 Bionic,5000,12,12.0,108,16,8,Glass,Plastic,False,True,1062
Google-4716,Google,7.0,OLED,Ion-strengthened glass,128,UFS 3.1,6,LPDDR4X,A17 Pro,5500,16,16.0,108,12,12,Polycarbonate,Polycarbonate back,True,False,1269
Apple-7849,Apple,6.7,Super Retina XDR,Scratch-resistant glass,64,UFS 3.1,12,LPDDR4X,A14 Bionic,4500,20,,64,16,8,Metallic,Polycarbonate back,False,False,1940
OnePlus-1266,OnePlus,6.5,IPS LCD,Ion-strengthened glass,512,NVMe,8,LPDDR4X,A17 Pro,4500,20,16.0,64,12,8,Metallic,Polycarbonate back,True,True,418
Samsung-4570,Samsung,6.1,Liquid Retina,Gorilla Glass,128,eMMC 5.1,6,LPDDR5,A13 Bionic,6000,20,,108,16,8,Glass,Leather back,False,False,1622
Apple-3583,Apple,5.4,Liquid Retina,Ion-strengthened glass,1024,UFS 3.1,6,LPDDR4X,A15 Bionic,4000,8,12.0,48,16,8,Polycarbonate,Leather back,False,False,1486
Samsung-1254,Samsung,6.5,Super Retina XDR,Scratch-resistant glass,1024,eMMC 5.1,12,LPDDR5,A17 Pro,5000,16,8.0,16,16,2,Glass,Polycarbonate back,True,True,1418
OnePlus-8098,OnePlus,6.7,IPS LCD,Ion-strengthened glass,1024,UFS 3.1,8,LPDDR5,A13 Bionic,5500,8,8.0,64,16,5,Glass,Glass back,False,True,620
OnePlus-8919,OnePlus,6.1,Liquid Retina,Ion-strengthened glass,256,NVMe,8,LPDDR5,A16 Bionic,5000,16,8.0,108,8,2,Glass,Plastic,False,False,411
OnePlus-5288,OnePlus,7.0,OLED,Scratch-resistant glass,256,eMMC 5.1,4,LPDDR4X,A15 Bionic,5000,16,8.0,12,12,8,Polycarbonate,Plastic,True,True,986
Google-9677,Google,6.7,Liquid Retina,Scratch-resistant glass,1024,UFS 3.1,4,LPDDR4X,A15 Bionic,5000,12,,12,16,2,Glass,Glass back,False,False,1441
Google-1767,Google,7.0,Super Retina XDR,Ion-strengthened glass,1024,NVMe,12,LPDDR5,A17 Pro,4500,16,,108,16,5,Metallic,Polycarbonate back,False,False,613
Samsung-5128,Samsung,5.4,OLED,Ion-strengthened glass,256,NVMe,12,LPDDR4X,A15 Bionic,4500,8,12.0,108,16,8,Polycarbonate,Leather back,True,False,1574
Google-3562,Google,6.1,Super Retina XDR,Gorilla Glass,1024,UFS 3.1,12,LPDDR5,A17 Pro,6000,12,16.0,64,8,8,Glass,Polycarbonate back,False,True,857
Google-2034,Google,6.1,Liquid Retina,Ceramic Shield,256,eMMC 5.1,4,LPDDR4X,A15 Bionic,6000,12,12.0,48,16,2,Polycarbonate,Glass back,True,True,701
Apple-6854,Apple,7.0,OLED,Ceramic Shield,1024,NVMe,8,LPDDR5,A13 Bionic,4500,16,,64,8,8,Metallic,Glass back,True,True,1067
Google-1590,Google,5.4,IPS LCD,Scratch-resistant glass,1024,eMMC 5.1,12,LPDDR5,A13 Bionic,5500,20,12.0,12,16,8,Metallic,Polycarbonate back,False,True,989
OnePlus-5525,OnePlus,5.4,Liquid Retina,Gorilla Glass,128,UFS 3.1,8,LPDDR4X,A15 Bionic,4000,16,,16,12,12,Plastic,Polycarbonate back,True,True,577
Apple-7636,Apple,6.5,OLED,Ion-strengthened glass,256,UFS 3.1,4,LPDDR5,A14 Bionic,5500,8,,64,12,8,Glass,Glass back,True,True,1734
OnePlus-5153,OnePlus,5.4,Super Retina XDR,Ion-strengthened glass,1024,NVMe,12,LPDDR4X,A16 Bionic,6000,8,12.0,108,12,2,Metallic,Glass back,True,False,824
Apple-6134,Apple,6.1,IPS LCD,Ion-strengthened glass,512,eMMC 5.1,8,LPDDR4X,A17 Pro,5500,20,12.0,12,16,12,Glass,Plastic,False,False,1960
Apple-1661,Apple,6.7,IPS LCD,Ceramic Shield,256,UFS 3.1,8,LPDDR4X,A16 Bionic,5500,20,,16,20,5,Plastic,Plastic,True,False,822
Apple-6903,Apple,6.7,Super Retina XDR,Gorilla Glass,512,NVMe,6,LPDDR4X,A14 Bionic,6000,8,12.0,48,8,8,Plastic,Plastic,True,True,1644
Apple-5048,Apple,6.5,Super Retina XDR,Gorilla Glass,256,eMMC 5.1,8,LPDDR5,A13 Bionic,4000,12,8.0,48,20,2,Metallic,Polycarbonate back,False,True,1101
OnePlus-3315,OnePlus,6.5,OLED,Ion-strengthened glass,512,UFS 3.1,6,LPDDR4X,A16 Bionic,4500,12,12.0,108,8,5,Plastic,Glass back,True,False,483
Samsung-8462,Samsung,7.0,OLED,Ion-strengthened glass,128,eMMC 5.1,4,LPDDR5,A16 Bionic,5000,16,,48,8,5,Metallic,Leather back,True,False,1026
Samsung-2817,Samsung,6.5,Super Retina XDR,Ion-strengthened glass,128,eMMC 5.1,8,LPDDR4X,A13 Bionic,5500,16,16.0,12,20,2,Plastic,Polycarbonate back,True,False,1423
Apple-6397,Apple,6.5,IPS LCD,Scratch-resistant glass,512,NVMe,4,LPDDR5,A13 Bionic,5000,8,16.0,108,20,12,Metallic,Leather back,True,True,1821
Apple-1833,Apple,5.4,Liquid Retina,Ceramic Shield,1024,UFS 3.1,12,LPDDR5,A13 Bionic,5000,12,8.0,64,12,8,Plastic,Polycarbonate back,False,True,1418
Xiaomi-9825,Xiaomi,7.0,Super Retina XDR,Ceramic Shield,512,NVMe,12,LPDDR4X,A16 Bionic,5500,12,12.0,64,20,5,Plastic,Plastic,True,True,423
Xiaomi-3558,Xiaomi,6.1,Liquid Retina,Gorilla Glass,256,UFS 3.1,6,LPDDR4X,A14 Bionic,4500,20,8.0,16,8,2,Polycarbonate,Leather back,False,False,233
OnePlus-7008,OnePlus,6.7,Liquid Retina,Ceramic Shield,256,NVMe,12,LPDDR5,A15 Bionic,5000,12,,12,12,2,Metallic,Polycarbonate back,True,True,707
Samsung-7772,Samsung,7.0,Super Retina XDR,Gorilla Glass,1024,NVMe,8,LPDDR5,A17 Pro,4000,8,12.0,12,16,5,Metallic,Polycarbonate back,True,False,536
Apple-1180,Apple,6.5,Liquid Retina,Ceramic Shield,256,UFS 3.1,4,LPDDR4X,A17 Pro,6000,8,,108,8,5,Plastic,Polycarbonate back,True,False,1967
Samsung-4729,Samsung,6.5,Liquid Retina,Ion-strengthened glass,256,UFS 3.1,8,LPDDR4X,A13 Bionic,5000,20,16.0,48,16,8,Plastic,Polycarbonate back,False,False,1420
Google-3043,Google,6.7,IPS LCD,Gorilla Glass,512,UFS 3.1,8,LPDDR4X,A17 Pro,5000,16,8.0,108,16,12,Metallic,Plastic,False,True,703
OnePlus-9614,OnePlus,7.0,OLED,Ion-strengthened glass,512,NVMe,4,LPDDR4X,A15 Bionic,6000,12,12.0,64,8,12,Plastic,Leather back,False,False,681
OnePlus-6574,OnePlus,6.7,Liquid Retina,Scratch-resistant glass,512,eMMC 5.1,4,LPDDR5,A16 Bionic,6000,8,16.0,64,12,8,Plastic,Glass back,False,True,512
Samsung-6308,Samsung,7.0,Liquid Retina,Gorilla Glass,256,eMMC 5.1,4,LPDDR4X,A13 Bionic,5000,20,,108,12,12,Metallic,Polycarbonate back,True,True,1789
Xiaomi-4712,Xiaomi,6.1,Liquid Retina,Ion-strengthened glass,64,eMMC 5.1,8,LPDDR4X,A15 Bionic,6000,8,8.0,64,16,12,Plastic,Leather back,True,False,421
Xiaomi-8342,Xiaomi,6.7,IPS LCD,Scratch-resistant glass,64,UFS 3.1,8,LPDDR4X,A15 Bionic,4000,8,,108,16,8,Polycarbonate,Plastic,True,True,437
Apple-4382,Apple,6.5,IPS LCD,Gorilla Glass,1024,eMMC 5.1,4,LPDDR5,A15 Bionic,5500,8,16.0,48,16,12,Plastic,Plastic,True,False,1021
Apple-9547,Apple,6.1,Super Retina XDR,Scratch-resistant glass,256,NVMe,8,LPDDR5,A16 Bionic,4000,20,16.0,64,20,12,Glass,Glass back,False,True,1601
Google-5729,Google,6.1,IPS LCD,Ion-strengthened glass,256,UFS 3.1,8,LPDDR5,A17 Pro,4500,16,,108,16,5,Glass,Glass back,True,False,1198
Google-6261,Google,6.1,IPS LCD,Scratch-resistant glass,1024,eMMC 5.1,6,LPDDR4X,A15 Bionic,6000,8,8.0,64,20,8,Metallic,Leather back,True,False,659
Apple-3338,Apple,7.0,Liquid Retina,Gorilla Glass,128,eMMC 5.1,4,LPDDR4X,A17 Pro,5500,16,,108,8,12,Metallic,Leather back,False,True,831
Samsung-7862,Samsung,6.1,Liquid Retina,Ceramic Shield,512,NVMe,12,LPDDR4X,A16 Bionic,4000,8,16.0,64,16,2,Glass,Plastic,False,False,1679
Samsung-8718,Samsung,6.5,OLED,Scratch-resistant glass,512,NVMe,4,LPDDR5,A14 Bionic,6000,12,8.0,16,16,5,Metallic,Leather back,False,False,1440
Google-4841,Google,5.4,OLED,Ceramic Shield,64,NVMe,4,LPDDR4X,A15 Bionic,5000,20,,16,20,12,Metallic,Polycarbonate back,False,True,1335
Google-5096,Google,6.1,Liquid Retina,Scratch-resistant glass,1024,NVMe,12,LPDDR5,A15 Bionic,4500,12,12.0,16,8,12,Glass,Plastic,True,False,1182
Google-5082,Google,6.1,Super Retina XDR,Ceramic Shield,64,UFS 3.1,8,LPDDR5,A15 Bionic,6000,16,8.0,12,12,12,Polycarbonate,Plastic,True,False,1234
Xiaomi-3541,Xiaomi,6.5,OLED,Gorilla Glass,256,eMMC 5.1,12,LPDDR5,A15 Bionic,5000,8,12.0,64,8,2,Plastic,Glass back,False,True,333
OnePlus-7379,OnePlus,6.7,Liquid Retina,Gorilla Glass,256,NVMe,12,LPDDR4X,A15 Bionic,4500,20,8.0,16,8,8,Metallic,Glass back,True,True,631
Samsung-6887,Samsung,6.1,IPS LCD,Ceramic Shield,128,NVMe,6,LPDDR5,A13 Bionic,5500,12,8.0,12,20,8,Glass,Glass back,False,False,949
Samsung-7429,Samsung,6.1,IPS LCD,Ceramic Shield,256,eMMC 5.1,6,LPDDR4X,A17 Pro,6000,12,16.0,16,16,8,Glass,Polycarbonate back,False,False,1014
Samsung-8317,Samsung,6.1,OLED,Scratch-resistant glass,256,UFS 3.1,8,LPDDR5,A13 Bionic,5000,12,12.0,16,12,5,Plastic,Leather back,False,True,1248
Samsung-1866,Samsung,6.5,Super Retina XDR,Ion-strengthened glass,512,NVMe,8,LPDDR5,A17 Pro,5000,16,16.0,48,16,12,Metallic,Leather back,False,True,920
Google-3471,Google,5.4,IPS LCD,Gorilla Glass,64,NVMe,12,LPDDR5,A17 Pro,4500,20,16.0,48,12,2,Metallic,Glass back,False,False,1381
Apple-5178,Apple,6.5,Liquid Retina,Scratch-resistant glass,1024,eMMC 5.1,4,LPDDR4X,A13 Bionic,5500,12,12.0,12,20,5,Glass,Polycarbonate back,False,True,1817
Samsung-8684,Samsung,6.7,Super Retina XDR,Ion-strengthened glass,128,NVMe,12,LPDDR4X,A17 Pro,4500,16,16.0,12,20,8,Glass,Plastic,False,True,1373
OnePlus-7136,OnePlus,6.1,Liquid Retina,Ceramic Shield,256,eMMC 5.1,6,LPDDR5,A14 Bionic,5500,12,8.0,16,8,2,Polycarbonate,Glass back,True,False,824
OnePlus-6772,OnePlus,6.1,IPS LCD,Gorilla Glass,256,UFS 3.1,4,LPDDR5,A16 Bionic,6000,12,12.0,48,8,12,Glass,Glass back,True,True,516
OnePlus-3872,OnePlus,6.5,Super Retina XDR,Ceramic Shield,512,NVMe,4,LPDDR4X,A16 Bionic,4500,16,16.0,64,8,12,Plastic,Polycarbonate back,False,False,1142
OnePlus-7978,OnePlus,7.0,OLED,Ceramic Shield,1024,UFS 3.1,4,LPDDR5,A17 Pro,6000,16,,12,8,8,Polycarbonate,Leather back,True,False,657
Google-5462,Google,5.4,OLED,Ceramic Shield,256,NVMe,12,LPDDR5,A13 Bionic,4500,20,8.0,16,20,12,Plastic,Polycarbonate back,True,True,1211
Samsung-9403,Samsung,6.5,OLED,Ceramic Shield,1024,UFS 3.1,8,LPDDR4X,A15 Bionic,5000,12,,64,8,8,Metallic,Leather back,False,False,899
Xiaomi-1573,Xiaomi,6.5,IPS LCD,Gorilla Glass,512,NVMe,8,LPDDR4X,A14 Bionic,6000,12,16.0,16,8,2,Glass,Glass back,False,True,496
OnePlus-7892,OnePlus,6.5,OLED,Ceramic Shield,128,eMMC 5.1,4,LPDDR5,A14 Bionic,4500,8,8.0,48,8,8,Glass,Leather back,False,False,481
Google-8214,Google,6.5,Super Retina XDR,Gorilla Glass,128,UFS 3.1,8,LPDDR4X,A16 Bionic,4500,12,12.0,48,16,5,Plastic,Polycarbonate back,False,True,1141
Samsung-5590,Samsung,5.4,Super Retina XDR,Scratch-resistant glass,1024,NVMe,4,LPDDR4X,A15 Bionic,6000,8,16.0,64,16,8,Polycarbonate,Plastic,False,False,1379
Xiaomi-5890,Xiaomi,5.4,Super Retina XDR,Scratch-resistant glass,1024,eMMC 5.1,6,LPDDR5,A15 Bionic,5500,16,8.0,12,12,5,Plastic,Plastic,False,True,772
Apple-3196,Apple,6.5,OLED,Scratch-resistant glass,1024,UFS 3.1,8,LPDDR5,A16 Bionic,5500,12,12.0,12,12,12,Glass,Glass back,False,True,1692
Xiaomi-5525,Xiaomi,7.0,Liquid Retina,Gorilla Glass,1024,NVMe,8,LPDDR5,A13 Bionic,4000,8,16.0,108,20,5,Glass,Plastic,True,False,591
Apple-3383,Apple,6.5,IPS LCD,Scratch-resistant glass,128,eMMC 5.1,12,LPDDR4X,A13 Bionic,4000,20,8.0,64,20,2,Polycarbonate,Glass back,False,False,1061
Apple-2185,Apple,5.4,Super Retina XDR,Ceramic Shield,1024,eMMC 5.1,12,LPDDR4X,A17 Pro,4000,16,12.0,108,16,2,Glass,Polycarbonate back,False,True,1281
Samsung-4346,Samsung,7.0,IPS LCD,Gorilla Glass,256,UFS 3.1,6,LPDDR4X,A17 Pro,5000,12,8.0,16,8,12,Plastic,Polycarbonate back,True,True,563
Samsung-2137,Samsung,5.4,Liquid Retina,Gorilla Glass,256,UFS 3.1,12,LPDDR5,A16 Bionic,4500,12,8.0,16,16,5,Glass,Leather back,False,True,1640
Samsung-9535,Samsung,6.5,Super Retina XDR,Ion-strengthened glass,256,NVMe,8,LPDDR4X,A13 Bionic,4500,20,,48,8,12,Glass,Leather back,True,True,1134
Xiaomi-5120,Xiaomi,6.1,IPS LCD,Ion-strengthened glass,128,UFS 3.1,8,LPDDR4X,A16 Bionic,4000,16,12.0,48,16,8,Metallic,Polycarbonate back,False,True,533
Apple-5640,Apple,7.0,Liquid Retina,Scratch-resistant glass,256,UFS 3.1,8,LPDDR5,A13 Bionic,5500,20,8.0,64,20,2,Metallic,Plastic,False,False,1886
Xiaomi-1142,Xiaomi,6.5,OLED,Scratch-resistant glass,256,UFS 3.1,8,LPDDR5,A16 Bionic,5500,8,,16,16,8,Metallic,Polycarbonate back,True,False,490
Xiaomi-4198,Xiaomi,6.5,OLED,Scratch-resistant glass,512,eMMC 5.1,8,LPDDR4X,A14 Bionic,5500,16,,64,12,2,Glass,Polycarbonate back,True,False,987
Apple-2059,Apple,6.1,Liquid Retina,Scratch-resistant glass,128,eMMC 5.1,12,LPDDR4X,A15 Bionic,5000,20,8.0,108,12,5,Polycarbonate,Plastic,False,True,859
OnePlus-3199,OnePlus,6.7,Liquid Retina,Gorilla Glass,128,NVMe,8,LPDDR5,A15 Bionic,5000,20,8.0,108,16,5,Metallic,Glass back,True,False,1196
Samsung-2819,Samsung,5.4,Super Retina XDR,Ceramic Shield,64,eMMC 5.1,12,LPDDR5,A13 Bionic,6000,20,,64,12,5,Metallic,Glass back,False,False,1628
OnePlus-8517,OnePlus,6.5,IPS LCD,Ion-strengthened glass,128,NVMe,6,LPDDR5,A16 Bionic,4500,12,12.0,12,8,2,Polycarbonate,Polycarbonate back,True,True,439
OnePlus-1387,OnePlus,6.1,Super Retina XDR,Scratch-resistant glass,512,NVMe,6,LPDDR4X,A15 Bionic,6000,12,,48,12,12,Metallic,Glass back,False,False,1177
Xiaomi-9484,Xiaomi,6.7,IPS LCD,Ceramic Shield,64,NVMe,12,LPDDR4X,A13 Bionic,5000,12,12.0,48,16,2,Polycarbonate,Plastic,True,True,658
Google-2095,Google,6.5,IPS LCD,Ceramic Shield,1024,NVMe,6,LPDDR4X,A14 Bionic,5000,16,12.0,16,20,5,Polycarbonate,Polycarbonate back,False,False,1094
OnePlus-5334,OnePlus,7.0,IPS LCD,Gorilla Glass,1024,UFS 3.1,8,LPDDR5,A16 Bionic,4500,16,8.0,48,12,5,Plastic,Polycarbonate back,True,False,448
OnePlus-1578,OnePlus,6.7,OLED,Scratch-resistant glass,512,eMMC 5.1,4,LPDDR5,A17 Pro,5500,12,,108,16,12,Metallic,Polycarbonate back,True,False,678
Xiaomi-1302,Xiaomi,5.4,Liquid Retina,Scratch-resistant glass,512,eMMC 5.1,6,LPDDR4X,A17 Pro,6000,8,8.0,64,12,5,Polycarbonate,Polycarbonate back,True,False,274
Google-9924,Google,6.5,OLED,Gorilla Glass,64,NVMe,8,LPDDR4X,A16 Bionic,5500,12,16.0,108,12,8,Glass,Leather back,True,True,693
Apple-8641,Apple,5.4,Super Retina XDR,Ceramic Shield,64,UFS 3.1,6,LPDDR5,A14 Bionic,4000,16,16.0,48,8,5,Polycarbonate,Polycarbonate back,True,False,1245
Google-2243,Google,7.0,Liquid Retina,Scratch-resistant glass,256,NVMe,4,LPDDR5,A14 Bionic,6000,20,16.0,48,8,8,Metallic,Polycarbonate back,False,True,1347
OnePlus-8947,OnePlus,6.7,IPS LCD,Scratch-resistant glass,1024,eMMC 5.1,8,LPDDR4X,A14 Bionic,5000,20,16.0,48,8,12,Metallic,Leather back,False,True,1052
Apple-1653,Apple,6.5,OLED,Ceramic Shield,512,UFS 3.1,4,LPDDR5,A14 Bionic,5000,20,12.0,64,16,12,Glass,Plastic,False,True,1336
Apple-6499,Apple,5.4,Super Retina XDR,Gorilla Glass,128,UFS 3.1,4,LPDDR5,A15 Bionic,4000,20,8.0,64,8,8,Plastic,Glass back,True,False,1337
Apple-6319,Apple,7.0,OLED,Ceramic Shield,512,NVMe,12,LPDDR4X,A14 Bionic,4000,8,12.0,12,8,12,Metallic,Leather back,False,False,767
OnePlus-6020,OnePlus,6.7,IPS LCD,Ion-strengthened glass,64,eMMC 5.1,8,LPDDR5,A14 Bionic,5500,8,,64,12,5,Glass,Plastic,True,False,1038
Google-4659,Google,7.0,OLED,Ion-strengthened glass,128,NVMe,12,LPDDR4X,A15 Bionic,5000,12,8.0,48,12,8,Metallic,Glass back,False,False,1214
Xiaomi-7255,Xiaomi,6.7,OLED,Ceramic Shield,64,UFS 3.1,4,LPDDR5,A14 Bionic,4500,8,8.0,12,8,2,Plastic,Plastic,False,False,983
Xiaomi-8569,Xiaomi,5.4,Liquid Retina,Ion-strengthened glass,128,UFS 3.1,6,LPDDR5,A17 Pro,4500,16,8.0,16,16,8,Metallic,Polycarbonate back,False,False,311
Google-4587,Google,6.1,Liquid Retina,Ion-strengthened glass,1024,eMMC 5.1,8,LPDDR5,A13 Bionic,4000,12,16.0,108,8,8,Glass,Polycarbonate back,False,True,1384
Xiaomi-6448,Xiaomi,6.7,Super Retina XDR,Gorilla Glass,128,UFS 3.1,4,LPDDR4X,A14 Bionic,6000,12,12.0,16,12,5,Plastic,Polycarbonate back,True,False,354
Xiaomi-3475,Xiaomi,7.0,OLED,Ceramic Shield,64,UFS 3.1,6,LPDDR5,A17 Pro,4000,16,12.0,12,20,5,Plastic,Polycarbonate back,True,False,425
Xiaomi-7075,Xiaomi,6.5,Super Retina XDR,Ceramic Shield,256,NVMe,12,LPDDR4X,A16 Bionic,4000,8,12.0,108,16,8,Polycarbonate,Leather back,True,False,351
Apple-2497,Apple,6.5,Liquid Retina,Ion-strengthened glass,64,NVMe,4,LPDDR4X,A13 Bionic,6000,16,8.0,108,20,2,Metallic,Glass back,False,False,1228
Apple-5576,Apple,7.0,IPS LCD,Scratch-resistant glass,1024,UFS 3.1,8,LPDDR5,A17 Pro,4500,12,8.0,48,20,8,Plastic,Leather back,False,False,1128
Samsung-4367,Samsung,5.4,Liquid Retina,Scratch-resistant glass,512,eMMC 5.1,4,LPDDR4X,A13 Bionic,4500,16,,12,8,8,Metallic,Leather back,False,False,515
Google-5597,Google,7.0,OLED,Ceramic Shield,512,UFS 3.1,8,LPDDR4X,A17 Pro,6000,20,16.0,64,16,8,Glass,Polycarbonate back,False,False,1153
Samsung-8299,Samsung,6.7,Super Retina XDR,Gorilla Glass,1024,NVMe,4,LPDDR4X,A13 Bionic,5000,12,,12,20,2,Polycarbonate,Glass back,False,False,1440
OnePlus-5154,OnePlus,6.1,OLED,Ion-strengthened glass,64,UFS 3.1,4,LPDDR4X,A13 Bionic,5500,16,,64,20,8,Polycarbonate,Polycarbonate back,False,True,894
Apple-3357,Apple,6.1,Liquid Retina,Gorilla Glass,256,eMMC 5.1,6,LPDDR5,A13 Bionic,5000,12,8.0,64,12,5,Polycarbonate,Polycarbonate back,True,False,1203
Google-6862,Google,5.4,IPS LCD,Gorilla Glass,1024,eMMC 5.1,12,LPDDR5,A17 Pro,5500,8,,108,20,8,Polycarbonate,Glass back,True,False,1218
Google-2391,Google,6.1,OLED,Ion-strengthened glass,512,eMMC 5.1,8,LPDDR5,A13 Bionic,4000,12,12.0,12,20,2,Glass,Glass back,True,False,1142
Xiaomi-7866,Xiaomi,6.5,IPS LCD,Scratch-resistant glass,256,NVMe,4,LPDDR5,A16 Bionic,6000,12,12.0,12,8,2,Glass,Glass back,True,False,351
Apple-8267,Apple,6.5,IPS LCD,Gorilla Glass,512,NVMe,6,LPDDR4X,A15 Bionic,4000,20,,12,20,5,Polycarbonate,Glass back,False,False,963
Xiaomi-2214,Xiaomi,6.7,Liquid Retina,Scratch-resistant glass,64,eMMC 5.1,12,LPDDR5,A16 Bionic,6000,16,12.0,12,12,12,Glass,Plastic,False,False,227
Apple-2909,Apple,6.7,Liquid Retina,Gorilla Glass,256,eMMC 5.1,6,LPDDR4X,A14 Bionic,5000,12,8.0,64,16,2,Plastic,Plastic,True,True,1490
Apple-3624,Apple,5.4,OLED,Gorilla Glass,128,eMMC 5.1,6,LPDDR5,A15 Bionic,4000,8,12.0,64,16,5,Metallic,Leather back,True,True,739
Apple-8270,Apple,6.7,Super Retina XDR,Gorilla Glass,64,eMMC 5.1,8,LPDDR5,A13 Bionic,6000,12,,12,12,8,Polycarbonate,Leather back,False,True,1071
Apple-1950,Apple,6.7,Liquid Retina,Ion-strengthened glass,1024,NVMe,8,LPDDR5,A17 Pro,5500,8,,16,16,5,Polycarbonate,Polycarbonate back,True,False,1764
OnePlus-8419,OnePlus,6.7,Super Retina XDR,Gorilla Glass,1024,NVMe,12,LPDDR4X,A15 Bionic,4000,12,8.0,12,12,8,Polycarbonate,Glass back,False,False,1181
Apple-4711,Apple,6.1,Liquid Retina,Ceramic Shield,1024,eMMC 5.1,6,LPDDR4X,A16 Bionic,5000,8,8.0,48,12,12,Plastic,Polycarbonate back,True,False,1635
OnePlus-5709,OnePlus,6.5,Liquid Retina,Scratch-resistant glass,64,eMMC 5.1,6,LPDDR4X,A16 Bionic,4500,16,12.0,64,16,8,Polycarbonate,Leather back,True,True,629
Google-1569,Google,6.5,Liquid Retina,Ion-strengthened glass,64,eMMC 5.1,12,LPDDR5,A14 Bionic,6000,12,12.0,16,20,5,Metallic,Polycarbonate back,True,False,670
OnePlus-5164,OnePlus,6.7,IPS LCD,Ceramic Shield,256,UFS 3.1,6,LPDDR5,A17 Pro,6000,12,,48,20,8,Plastic,Leather back,True,True,1068
OnePlus-2665,OnePlus,6.5,Super Retina XDR,Ceramic Shield,256,UFS 3.1,6,LPDDR5,A13 Bionic,6000,16,12.0,108,16,12,Glass,Glass back,True,False,1166
OnePlus-9225,OnePlus,5.4,Liquid Retina,Gorilla Glass,256,eMMC 5.1,8,LPDDR5,A14 Bionic,5500,20,8.0,108,20,12,Plastic,Plastic,False,True,519
Google-9828,Google,7.0,Liquid Retina,Gorilla Glass,64,eMMC 5.1,6,LPDDR5,A13 Bionic,4000,12,,48,20,8,Polycarbonate,Plastic,False,False,1273
OnePlus-9088,OnePlus,6.5,Liquid Retina,Scratch-resistant glass,256,UFS 3.1,4,LPDDR4X,A13 Bionic,5000,8,,48,8,2,Metallic,Polycarbonate back,False,False,468
OnePlus-6726,OnePlus,6.7,OLED,Gorilla Glass,64,NVMe,4,LPDDR5,A14 Bionic,5000,20,16.0,48,20,2,Glass,Polycarbonate back,True,True,510
OnePlus-8886,OnePlus,6.1,Liquid Retina,Scratch-resistant glass,64,eMMC 5.1,4,LPDDR4X,A14 Bionic,6000,20,,12,8,8,Glass,Glass back,True,True,941
Samsung-4276,Samsung,6.1,Liquid Retina,Ceramic Shield,256,NVMe,8,LPDDR4X,A13 Bionic,4500,20,16.0,108,12,8,Metallic,Plastic,False,True,1412
Samsung-8774,Samsung,7.0,OLED,Ceramic Shield,512,NVMe,8,LPDDR5,A17 Pro,6000,12,12.0,12,12,2,Polycarbonate,Leather back,True,False,1087
Apple-2525,Apple,7.0,Super Retina XDR,Ceramic Shield,64,eMMC 5.1,6,LPDDR4X,A13 Bionic,4500,12,12.0,108,8,8,Metallic,Glass back,True,True,1229
Google-8887,Google,6.5,IPS LCD,Ceramic Shield,512,NVMe,12,LPDDR4X,A17 Pro,5500,12,,16,16,12,Metallic,Polycarbonate back,False,True,1064
Samsung-3796,Samsung,6.5,IPS LCD,Scratch-resistant glass,1024,NVMe,4,LPDDR4X,A13 Bionic,4000,8,,108,16,12,Metallic,Polycarbonate back,False,True,1136
Apple-4069,Apple,7.0,OLED,Ion-strengthened glass,128,UFS 3.1,12,LPDDR4X,A16 Bionic,4000,16,16.0,108,8,2,Metallic,Polycarbonate back,True,False,1330
Apple-2479,Apple,5.4,IPS LCD,Ion-strengthened glass,64,UFS 3.1,8,LPDDR5,A17 Pro,4000,20,16.0,16,20,12,Plastic,Plastic,False,True,1116
Xiaomi-5955,Xiaomi,6.7,Liquid Retina,Ceramic Shield,64,NVMe,8,LPDDR4X,A14 Bionic,4500,12,,16,8,5,Glass,Polycarbonate back,False,False,913
Samsung-4408,Samsung,6.5,IPS LCD,Ceramic Shield,1024,UFS 3.1,4,LPDDR4X,A14 Bionic,5000,16,16.0,64,20,2,Glass,Polycarbonate back,False,True,1386
